836,728136,1,HD Ready
837,728136,2,2000000 :1
838,728136,3,1024x768
839,728136,7,103
840,728136,11,42
841,728136,12,16x9
842,728136,13,SRS TruSurround XT
843,728136,8,66
844,728136,9,8
845,728136,10,פלזמה
846,732926,4,NULL
847,732926,5,NULL
848,732926,6,NULL
849,732926,1,Full HD
850,732926,2,NULL
851,732926,3,1920X1080
852,732926,7,98.3
853,732926,11,40
854,732926,12,NULL
855,732926,13,NULL
856,732926,8,63.1
857,732926,9,2.9
858,732926,10,LED
859,731287,4,500
860,731287,5,176
861,731287,6,3
862,731287,1,Full HD
863,731287,2,80000 :1
864,731287,3,1920X1080
865,731287,7,88.6
866,731287,11,37
867,731287,12,16x9
868,731287,13,NICAM סטריאו
869,731287,8,54.2
870,731287,9,8.8
871,731287,10,LCD
872,719657,4,450
873,719657,5,178
874,719657,6,7
875,719657,1,HD Ready
876,719657,2,18000 :1
877,719657,3,1366x768
878,719657,7,79.6
879,719657,11,32
880,719657,12,16x9
881,719657,13,AV סטריאו
882,719657,8,55.2
883,719657,9,22.4
884,719657,10,LCD
885,731951,4,500
886,731951,5,178
887,731951,6,4
888,731951,1,Full HD
889,731951,2,80000 :1
890,731951,3,1920X1080
891,731951,7,80.4
892,731951,11,32
893,731951,12,16x9
894,731951,13,SRS TruSurround XT
895,731951,8,52.7
896,731951,9,8
897,731951,10,LCD
898,732319,4,NULL
899,732319,5,NULL
900,732319,6,NULL
901,732319,1,Full HD
902,732319,2,NULL
903,732319,3,1920X1080
904,732319,7,80.1
905,732319,11,32
906,732319,12,NULL
907,732319,13,SRS TruSurround XT
908,732319,8,51.8
909,732319,9,7.60
910,732319,10,LCD
911,728246,4,500
912,728246,5,178
913,728246,6,2.4
914,728246,1,Full HD
915,728246,2,100000 :1
916,728246,3,1920X1080
917,728246,7,90
918,728246,11,37
919,728246,12,16x9
920,728246,13,SRS TruSurround XT
921,728246,8,64
922,728246,9,5.2
923,728246,10,LCD
924,732547,4,NULL
925,732547,5,NULL
926,732547,6,NULL
927,732547,1,HD Ready
928,732547,2,NULL
929,732547,3,NULL
930,732547,7,123
931,732547,11,50
932,732547,12,NULL
933,732547,13,SRS TruSurround XT
934,732547,8,75.5
935,732547,9,7.3
936,732547,10,פלזמה
937,734543,4,500
938,734543,5,178
939,734543,6,NULL
940,734543,1,Full HD
941,734543,2,15000 :1
942,734543,3,1920X1080
943,734543,7,101
944,734543,11,42
945,734543,12,16x9
946,734543,13,Dolby Digital (AC-3)
947,734543,8,64.9
948,734543,9,9
949,734543,10,LCD
950,736255,4,NULL
951,736255,5,178
952,736255,6,NULL
953,736255,1,NULL
954,736255,2,2000000 :1
955,736255,3,1024x768
956,736255,7,102.9
957,736255,11,42
958,736255,12,NULL
959,736255,13,NULL
960,736255,8,66.1
961,736255,9,10
962,736255,10,פלזמה
963,728121,4,450
964,728121,5,178
965,728121,6,5
966,728121,1,HD Ready
967,728121,2,60000 :1
968,728121,3,1366x768
969,728121,7,66.7
970,728121,11,26
971,728121,12,16x9
972,728121,13,SRS TruSurround XT
973,728121,8,45
974,728121,9,8
975,728121,10,LCD
976,732314,4,NULL
977,732314,5,NULL
978,732314,6,NULL
979,732314,1,HD Ready
980,732314,2,NULL
981,732314,3,1366x768
982,732314,7,79.8
983,732314,11,32
984,732314,12,NULL
985,732314,13,SRS TruSurround XT
986,732314,8,52.9
987,732314,9,7.5
988,732314,10,LCD
989,731231,4,500
990,731231,5,178
991,731231,6,4
992,731231,1,Full HD
993,731231,2,80000 :1
994,731231,3,1920X1080
995,731231,7,114
996,731231,11,47
997,731231,12,16x9
998,731231,13,SRS TruSurround XT
999,731231,8,72.3
1000,731231,9,9.9
1001,731231,10,LCD
1002,730517,4,500
1003,730517,5,178
1004,730517,6,5
1005,730517,1,Full HD
1006,730517,2,70000 :1
1007,730517,3,1920X1080
1008,730517,7,103
1009,730517,11,42
1010,730517,12,16x9
1011,730517,13,SRS TruSurround XT
1012,730517,8,67
1013,730517,9,9.2
1014,730517,10,LCD
1015,729777,4,500
1016,729777,5,178
1017,729777,6,5
1018,729777,1,Full HD
1019,729777,2,50000 :1
1020,729777,3,1920X1080
1021,729777,7,103.4
1022,729777,11,42
1023,729777,12,16x9
1024,729777,13,NULL
1025,729777,8,64.4
1026,729777,9,8.3
1027,729777,10,LCD
1028,731222,4,500
1029,731222,5,178
1030,731222,6,NULL
1031,731222,1,Full HD
1032,731222,2,50000 :1
1033,731222,3,1920X1080
1034,731222,7,101
1035,731222,11,42
1036,731222,12,16x9
1037,731222,13,Dolby Digital (AC-3)
1038,731222,8,64.9
1039,731222,9,9.4
1040,731222,10,LCD
1041,731236,4,500
1042,731236,5,178
1043,731236,6,5
1044,731236,1,Full HD
1045,731236,2,NULL
1046,731236,3,1920X1080
1047,731236,7,92.7
1048,731236,11,37
1049,731236,12,16x9
1050,731236,13,NICAM סטריאו
1051,731236,8,99.6
1052,731236,9,5.8
1053,731236,10,LCD
1054,728144,4,500
1055,728144,5,178
1056,728144,6,5
1057,728144,1,Full HD
